step,train_loss,lr,grad_norm,tok_per_sec,val_loss
1,10.978049,3.000000e-06,5.0291,61147.63,
2,10.944427,6.000000e-06,4.9187,76039.22,
3,10.877560,9.000000e-06,4.9451,75994.91,
4,10.781542,1.200000e-05,5.0482,76032.84,
5,10.658533,1.500000e-05,4.9111,76007.12,
6,10.512865,1.800000e-05,4.8347,76006.71,
7,10.362925,2.100000e-05,4.4468,76003.33,
8,10.213485,2.400000e-05,3.8624,75989.98,
9,10.064463,2.700000e-05,3.3821,75952.38,
10,9.943029,3.000000e-05,2.9286,75953.56,
11,9.830613,3.300000e-05,2.6351,75957.18,
12,9.762729,3.600000e-05,2.3756,75950.66,
13,9.697460,3.900000e-05,2.1878,75948.82,
14,9.638238,4.200000e-05,2.0611,75946.97,
15,9.550617,4.500000e-05,2.0492,75954.03,
16,9.499963,4.800000e-05,2.0000,75952.35,
17,9.467856,5.100000e-05,1.9409,75954.25,
18,9.408631,5.400000e-05,1.9179,75953.89,
19,9.447494,5.700000e-05,1.8419,75949.07,
20,9.410123,6.000000e-05,1.8875,75951.62,
21,9.270224,6.300000e-05,1.8242,75950.33,
22,9.212421,6.600000e-05,1.8304,75953.10,
23,9.158870,6.900000e-05,1.7704,75945.13,
24,9.118532,7.200000e-05,1.7146,75953.77,
25,9.014488,7.500000e-05,1.7097,75955.86,
26,8.946416,7.800000e-05,1.6791,75947.15,
27,8.901343,8.100000e-05,1.6209,75954.33,
28,8.817746,8.400000e-05,1.6213,75956.87,
29,8.757565,8.700000e-05,1.6005,75956.23,
30,8.663247,9.000000e-05,1.5893,75949.56,
31,8.682292,9.300000e-05,1.4761,75961.19,
32,8.564041,9.600000e-05,1.4760,75957.23,
33,8.507731,9.900000e-05,1.3853,75957.77,
34,8.432877,1.020000e-04,1.3421,75956.80,
35,8.294604,1.050000e-04,1.3514,75958.47,
36,8.274445,1.080000e-04,1.3414,75957.78,
37,8.226392,1.110000e-04,1.2646,75952.02,
38,8.110941,1.140000e-04,1.2661,75953.91,
39,8.046101,1.170000e-04,1.2077,75958.71,
40,8.020150,1.200000e-04,1.0850,75954.78,
41,7.947173,1.230000e-04,1.0608,75957.94,
42,7.843876,1.260000e-04,1.3321,75954.39,
43,7.774150,1.290000e-04,1.4225,75960.60,
44,7.766995,1.320000e-04,0.9645,75958.46,
45,7.697541,1.350000e-04,1.1250,75957.86,
46,7.676086,1.380000e-04,1.0140,75956.42,
47,7.607509,1.410000e-04,0.8049,75954.71,
48,7.619363,1.440000e-04,0.9006,75949.50,
49,7.607903,1.470000e-04,0.8028,75953.80,
50,7.512986,1.500000e-04,0.6981,75950.78,
51,7.548875,1.530000e-04,0.6221,75958.27,
52,7.481644,1.560000e-04,0.5534,75950.30,
53,7.460990,1.590000e-04,0.5401,75949.03,
54,7.391246,1.620000e-04,0.5859,75954.55,
55,7.407022,1.650000e-04,0.5587,75949.04,
56,7.390104,1.680000e-04,0.4102,75944.32,
57,7.344626,1.710000e-04,0.5208,75943.03,
58,7.339431,1.740000e-04,0.5116,75951.34,
59,7.255434,1.770000e-04,0.4214,75951.05,
60,7.227551,1.800000e-04,0.3365,75949.18,
61,7.233777,1.830000e-04,0.4249,75945.60,
62,7.247914,1.860000e-04,0.4441,75947.94,
63,7.139038,1.890000e-04,0.4593,75947.36,
64,7.119266,1.920000e-04,0.3385,75952.69,
65,7.099186,1.950000e-04,0.5623,75949.35,
66,7.134690,1.980000e-04,1.0778,75944.66,
67,7.066625,2.010000e-04,1.7795,75948.41,
68,7.063581,2.040000e-04,0.4809,75951.38,
69,7.044707,2.070000e-04,0.6612,75952.27,
70,6.933307,2.100000e-04,0.6451,75948.26,
71,6.911271,2.130000e-04,0.5446,75951.80,
72,6.939118,2.160000e-04,0.5366,75951.84,
73,6.883369,2.190000e-04,0.5204,75962.08,
74,6.868131,2.220000e-04,0.6151,75941.39,
75,6.794145,2.250000e-04,0.6542,75945.75,
76,6.833537,2.280000e-04,0.5024,75948.15,
77,6.773594,2.310000e-04,0.8562,75943.78,
78,6.796921,2.340000e-04,0.5736,75944.47,
79,6.766188,2.370000e-04,0.6960,75946.10,
80,6.698917,2.400000e-04,0.6465,75943.64,
81,6.695326,2.430000e-04,0.6689,75938.17,
82,6.702902,2.460000e-04,0.7791,75945.43,
83,6.634292,2.490000e-04,0.6074,75945.40,
84,6.582065,2.520000e-04,0.5521,75944.84,
85,6.593788,2.550000e-04,0.7169,75942.01,
86,6.558157,2.580000e-04,0.8623,75941.77,
87,6.538243,2.610000e-04,0.6116,75946.26,
88,6.564415,2.640000e-04,0.7414,75942.74,
89,6.540375,2.670000e-04,0.7010,75944.07,
90,6.586023,2.700000e-04,0.8049,75944.75,
91,6.495728,2.730000e-04,0.5848,75944.56,
92,6.491691,2.760000e-04,0.7564,75940.03,
93,6.536414,2.790000e-04,0.6329,75938.57,
94,6.610678,2.820000e-04,0.6230,75944.88,
95,6.617452,2.850000e-04,0.4358,75931.49,
96,6.602484,2.880000e-04,0.5278,75939.39,
97,6.554839,2.910000e-04,0.6626,75944.07,
98,6.510965,2.940000e-04,0.8912,75934.46,
99,6.566879,2.970000e-04,1.2855,75943.52,
100,6.511994,3.000000e-04,1.0332,75943.09,
101,6.549402,3.030000e-04,0.9274,75929.85,
102,6.468070,3.060000e-04,0.8041,75935.84,
103,6.456461,3.090000e-04,0.8745,75939.63,
104,6.344961,3.120000e-04,0.6713,75937.63,
105,6.436368,3.150000e-04,0.6853,75941.97,
106,6.434852,3.180000e-04,0.7282,75940.14,
107,6.389244,3.210000e-04,0.6146,75935.71,
108,6.331435,3.240000e-04,0.6180,75937.05,
109,6.386097,3.270000e-04,0.5368,75934.82,
110,6.392776,3.300000e-04,0.6000,75939.34,
111,6.335730,3.330000e-04,0.6610,75937.34,
112,6.311606,3.360000e-04,0.9092,75937.32,
113,6.290444,3.390000e-04,1.0026,75937.65,
114,6.321038,3.420000e-04,0.8119,75938.40,
115,6.337218,3.450000e-04,0.7692,75935.00,
116,6.299742,3.480000e-04,0.8273,75934.35,
117,6.226368,3.510000e-04,0.7654,75935.13,
118,6.163992,3.540000e-04,0.8635,75947.00,
119,6.181375,3.570000e-04,0.9966,75941.48,
120,6.201426,3.600000e-04,0.6831,75940.97,
121,6.169736,3.630000e-04,0.6375,75939.96,
122,6.140282,3.660000e-04,0.7956,75938.15,
123,6.140046,3.690000e-04,0.7786,75933.82,
124,6.139432,3.720000e-04,0.8707,75935.52,
125,6.159240,3.750000e-04,1.2963,75939.98,
126,6.136973,3.780000e-04,0.7331,75937.97,
127,6.119840,3.810000e-04,0.8498,75942.38,
